leftElbow,rightElbow,leftShould,rightShould,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,leftWrist,rightWrist,Xfactor
35,100,60,24,6,92,25,97,15,27,26,46,1.7463386352320276
36,121,52,21,52,95,67,95,22,27,23,23,1.658495717902067
34,120,51,22,49,86,65,89,24,28,19,22,3.7988118357898304
33,120,52,27,51,80,64,84,25,27,20,22,3.990936045835238
34,118,44,35,38,71,63,77,21,24,22,23,3.1074300086508337
30,109,44,31,31,65,52,65,23,22,25,24,4.453281444990272
29,110,50,30,42,64,55,72,23,27,29,24,6.254073367472484
29,113,58,26,42,70,52,80,27,30,26,21,4.53140884159461
25,112,57,27,40,77,56,86,29,28,26,19,3.721442246594905
27,104,55,25,29,74,51,87,25,28,24,22,3.9452570436925094
31,96,55,22,32,78,53,89,17,31,23,20,2.775502576795016
25,86,53,24,33,81,51,79,17,34,28,30,2.571510500947086
25,73,44,32,30,78,48,63,24,25,29,27,4.03131603935926
33,71,42,30,42,73,54,64,26,28,22,27,4.5657383610985365
23,62,59,31,41,65,43,56,20,28,39,33,5.523615489731272
18,73,52,32,48,62,61,72,23,31,37,28,4.950677929074437
19,73,47,28,52,61,55,73,26,29,39,27,3.2866852067300605
18,68,41,24,48,61,52,71,28,29,35,33,2.4903836913233763
17,66,41,21,52,64,67,81,30,27,35,32,2.7128103357388786
15,68,40,16,49,77,69,93,27,23,37,31,3.7749986710738894
18,68,40,13,33,81,57,88,29,31,35,27,4.597156340454172
16,75,42,20,42,79,61,90,25,33,37,27,4.391719397889163
14,67,42,14,29,75,55,77,22,30,37,24,4.844527431962798
23,59,45,17,43,91,55,65,26,27,40,27,7.298234021780325
22,50,32,21,39,30,34,13,18,21,38,10,15.045325312585476
21,54,53,12,43,76,48,86,26,36,23,28,2.2255512321162105
21,51,57,14,46,74,51,88,23,34,28,22,0.8531801149636212
23,67,57,7,52,79,63,96,15,31,30,11,2.9889574670957164
27,65,60,14,70,79,70,103,31,37,36,2,1.6370073545486812
29,40,70,39,103,97,72,105,16,32,14,14,9.818488200013038
48,61,85,41,101,120,111,132,22,29,8,19,10.795734518702796
40,64,89,40,75,113,77,121,23,38,13,19,11.17270464138699
26,62,56,43,49,84,50,25,18,74,46,52,15.661813675699365
24,70,64,42,53,89,58,24,27,55,34,16,16.67775868679197
37,55,64,75,68,132,62,115,52,18,42,19,29.71644455404718
15,22,79,62,58,38,30,20,26,40,18,55,15.27283615319773
36,31,73,43,57,78,65,79,90,53,36,140,2.810959136871438
33,78,80,73,35,52,74,57,92,38,2,16,14.763648761269094
51,64,53,44,61,94,69,66,63,27,105,21,15.851294367082655
9,58,40,30,59,91,74,80,57,30,84,33,4.906777826665457
33,59,55,33,65,100,91,84,53,30,49,21,5.664334911012217
28,60,62,25,69,108,100,93,45,34,20,19,5.405854305700927
48,72,55,13,36,119,63,107,3,30,21,30,4.177319462400868
62,68,37,10,26,104,53,107,20,29,18,22,4.270583051484526
85,47,30,29,35,106,48,99,34,26,23,24,10.553482291341679
87,42,27,25,32,100,45,95,34,25,25,25,3.460419981484554
101,39,36,27,66,96,83,102,31,32,21,16,2.8417951227499914
35,46,105,12,85,99,90,99,33,26,18,44,11.417529984930344
37,39,125,11,94,91,87,83,31,32,13,54,7.553980183294091
32,43,134,13,91,81,86,76,33,32,14,42,17.7612090192381
23,45,140,17,82,75,78,66,37,36,13,32,16.604635902623126
22,47,142,27,86,72,87,65,38,38,12,28,14.329164766960973
25,39,154,40,77,75,69,57,38,35,24,29,13.149826756577388
28,41,160,44,83,76,68,65,32,27,6,26,13.144392675870838
26,43,163,43,93,82,77,71,31,26,3,25,17.98983009737657
34,32,159,42,89,71,81,68,30,27,7,23,15.852046705629203
36,22,158,46,90,70,84,66,27,27,5,28,15.040600962708893
36,23,157,49,93,74,85,64,27,28,7,30,14.203774214817543
42,17,152,53,87,73,83,66,27,28,8,32,11.667731333052426
42,10,150,55,55,71,60,68,27,32,8,36,10.803875120685753
41,7,149,64,38,72,47,72,27,38,9,31,9.263007805563271
40,8,154,63,47,77,50,71,27,36,9,36,10.425887564430072
46,9,142,74,44,79,47,77,26,63,12,28,9.735371254459539
51,10,143,70,49,75,54,78,27,27,9,27,9.356989588532466
50,9,139,75,58,77,60,84,26,30,11,26,8.158246500668366
53,11,140,63,48,74,55,68,54,30,15,30,7.038452848535477
45,9,146,67,26,46,30,38,27,27,14,30,7.317267190551618
46,8,147,72,15,53,37,40,29,21,11,31,4.63340190957092
52,20,136,39,11,37,35,32,54,28,22,48,4.4055583212282965
48,18,121,77,24,49,27,33,31,29,28,25,5.669059090638637
45,29,133,48,12,38,13,21,25,20,26,43,6.460247472355148
37,24,121,44,9,40,16,15,24,27,45,48,6.103266880282819
45,38,133,38,14,33,14,10,20,23,28,50,6.852511355770346
30,56,128,24,18,23,14,5,18,18,30,66,5.281920386945061
