match_id;winner_id;winner_name;loser_id;loser_name;win_type;submission;winner_points;loser_points;adv_pen;weight_class;sex;stage;year
3314;484;Murilo Santana;733;Vinicius Magalhaes;DECISION;N/A;-1;-1;N/A;ABS;M;4F;2011
35049;7507;Nicholas Meregali;9554;Henrique Cardoso;SUBMISSION;Kimura;-1;-1;N/A;99KG;M;R1;2022
35053;7507;Nicholas Meregali;1740;Yuri Simoes;DECISION;N/A;-1;-1;N/A;99KG;M;4F;2022
35057;7507;Nicholas Meregali;576;Rafael Lovato Jr;POINTS;N/A;0;0;PEN;99KG;M;3RD;2022
35096;7507;Nicholas Meregali;11797;Giancarlo Bodoni;POINTS;N/A;6;2;N/A;ABS;M;4F;2022
35100;7507;Nicholas Meregali;12003;Tye Ruotolo;DECISION;N/A;-1;-1;N/A;ABS;M;SF;2022
21816;12110;Nick Rodriguez;5842;Mahamed Aly;DECISION;N/A;-1;-1;N/A;+99KG;M;R1;2019
21822;12110;Nick Rodriguez;2452;Orlando Sanchez;POINTS;N/A;0;0;PEN;+99KG;M;4F;2019
21883;12110;Nick Rodriguez;224;Roberto Abreu;DECISION;N/A;-1;-1;N/A;+99KG;M;SF;2019
35071;12110;Nick Rodriguez;2416;Felipe Pena;POINTS;N/A;3;0;N/A;+99KG;M;SF;2022
35088;12110;Nick Rodriguez;12703;Andy Varela;POINTS;N/A;17;0;N/A;ABS;M;8F;2022
5004;2107;Otavio Sousa;419;Leonardo Vieira;POINTS;N/A;-1;-1;N/A;77KG;M;SF;2013
7948;2107;Otavio Sousa;8394;Vagner Rocha;DECISION;N/A;-1;-1;N/A;77KG;M;4F;2015
7902;2452;Orlando Sanchez;1369;Dean Lister;DECISION;N/A;-1;-1;N/A;+99KG;M;4F;2015
7905;2452;Orlando Sanchez;733;Vinicius Magalhaes;DECISION;N/A;-1;-1;N/A;+99KG;M;SF;2015
7908;2452;Orlando Sanchez;5861;Jared Dopp;DECISION;N/A;-1;-1;N/A;+99KG;M;F;2015
13856;2452;Orlando Sanchez;5861;Jared Dopp;DECISION;N/A;-1;-1;N/A;+99KG;M;SF;2017
13918;8069;Pablo Mantovani;188;Augusto Mendes;DECISION;N/A;-1;-1;N/A;66KG;M;4F;2017
21864;8069;Pablo Mantovani;8866;Thomas Halpin;POINTS;N/A;13;0;N/A;66KG;M;R1;2019
777;919;Pablo Popovitch;687;Marcio Feitosa;POINTS;N/A;-1;-1;N/A;77KG;M;R1;2003
1176;919;Pablo Popovitch;52;Renzo Gracie;POINTS;N/A;4;0;N/A;77KG;M;R1;2005
1181;919;Pablo Popovitch;1031;Jake Shields;POINTS;N/A;5;0;N/A;77KG;M;SF;2005
1691;919;Pablo Popovitch;144;Andre Galvao;POINTS;N/A;-1;-1;N/A;77KG;M;SF;2007
2257;919;Pablo Popovitch;16;Marcelo Garcia;POINTS;N/A;3;0;N/A;77KG;M;F;2009
3270;919;Pablo Popovitch;138;Sergio Moraes;POINTS;N/A;2;0;N/A;88KG;M;4F;2011
3292;919;Pablo Popovitch;576;Rafael Lovato Jr;POINTS;N/A;-1;-1;N/A;88KG;M;3PLC;2011
