victory_method,submission,winner_points,loser_points,female,year,absolute,weight_class,importance,total_points,submission_target,winner_name,loser_name
DECISION,,-1,-1,0,2011,1,,1,2,nan,Murilo Santana,Vinicius Magalhaes
SUBMISSION,Kimura,-1,-1,0,2022,0,3.0,0,2,Arm,Nicholas Meregali,Henrique Cardoso
DECISION,,-1,-1,0,2022,0,3.0,1,2,nan,Nicholas Meregali,Yuri Simoes
POINTS,,0,0,0,2022,0,3.0,3,0,nan,Nicholas Meregali,Rafael Lovato Jr
POINTS,,6,2,0,2022,1,,1,8,nan,Nicholas Meregali,Giancarlo Bodoni
DECISION,,-1,-1,0,2022,1,,2,2,nan,Nicholas Meregali,Tye Ruotolo
DECISION,,-1,-1,0,2019,0,4.0,0,2,nan,Nick Rodriguez,Mahamed Aly
POINTS,,0,0,0,2019,0,4.0,1,0,nan,Nick Rodriguez,Orlando Sanchez
DECISION,,-1,-1,0,2019,0,4.0,2,2,nan,Nick Rodriguez,Roberto Abreu
POINTS,,3,0,0,2022,0,4.0,2,3,nan,Nick Rodriguez,Felipe Pena
POINTS,,17,0,0,2022,1,,0,17,nan,Nick Rodriguez,Andy Varela
POINTS,,-1,-1,0,2013,0,1.0,2,2,nan,Otavio Sousa,Leonardo Vieira
DECISION,,-1,-1,0,2015,0,1.0,1,2,nan,Otavio Sousa,Vagner Rocha
DECISION,,-1,-1,0,2015,0,4.0,1,2,nan,Orlando Sanchez,Dean Lister
DECISION,,-1,-1,0,2015,0,4.0,2,2,nan,Orlando Sanchez,Vinicius Magalhaes
DECISION,,-1,-1,0,2015,0,4.0,4,2,nan,Orlando Sanchez,Jared Dopp
DECISION,,-1,-1,0,2017,0,4.0,2,2,nan,Orlando Sanchez,Jared Dopp
DECISION,,-1,-1,0,2017,0,0.0,1,2,nan,Pablo Mantovani,Augusto Mendes
POINTS,,13,0,0,2019,0,0.0,0,13,nan,Pablo Mantovani,Thomas Halpin
POINTS,,-1,-1,0,2003,0,1.0,0,2,nan,Pablo Popovitch,Marcio Feitosa
POINTS,,4,0,0,2005,0,1.0,0,4,nan,Pablo Popovitch,Renzo Gracie
POINTS,,5,0,0,2005,0,1.0,2,5,nan,Pablo Popovitch,Jake Shields
POINTS,,-1,-1,0,2007,0,1.0,2,2,nan,Pablo Popovitch,Andre Galvao
POINTS,,3,0,0,2009,0,1.0,4,3,nan,Pablo Popovitch,Marcelo Garcia
POINTS,,2,0,0,2011,0,2.0,1,2,nan,Pablo Popovitch,Sergio Moraes
POINTS,,-1,-1,0,2011,0,2.0,3,2,nan,Pablo Popovitch,Rafael Lovato Jr
POINTS,,2,0,0,2011,1,,1,2,nan,Pablo Popovitch,Victor Estima
POINTS,,3,0,0,2022,0,1.0,0,3,nan,Paul Schreiner,Tommy Langaker
POINTS,,8,2,0,2017,0,0.0,1,10,nan,Paulo Miyao,Geovanny Martinez
POINTS,,10,0,0,2017,0,0.0,3,10,nan,Paulo Miyao,Pablo Mantovani
POINTS,,4,0,0,2019,0,0.0,3,4,nan,Paulo Miyao,Tye Ruotolo
