name,win_ratio,total_fights,sub_win_ratio,point_win_ratio,decision_win_ratio,n_editions_competed,scored_points_per_fight,suffered_points_per_fight,fights_per_edition,favorite_target,most_vulnerable,n_weight_classes,main_weight_class,avg_match_importance,highest_match_importance,open_weight_ratio,n_titles,champion,custom_score,n_different_subs,fought_superfight,total_wins,debut_year,female
Murilo Santana,0.45454545454545453,11.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,7.0,-0.2727272727272727,0.0,1.5714285714285714,Arm,Neck,2,2.0,0.8181818181818182,3,0.36363636363636365,0,0,-0.16569883500376592,1,0,5.0,2009,0
Nicholas Meregali,0.75,8.0,0.125,0.25,0.25,2.0,0.125,-0.375,4.0,Arm,No specific vulnerability,1,3.0,1.625,4,0.5,0,0,1.977329532845904,1,0,6.0,2022,0
Nick Rodriguez,0.7,10.0,0.1,0.4,0.2,4.0,2.3,-0.2,2.5,Neck,Leg,1,4.0,1.5,4,0.2,0,0,0.8546283656125578,1,0,7.0,2019,0
Otavio Sousa,0.625,8.0,0.375,0.125,0.125,4.0,-0.75,0.5,2.0,Neck,Neck,1,1.0,1.625,4,0.0,0,0,0.5679812590848949,2,0,5.0,2013,0
Orlando Sanchez,0.6923076923076923,13.0,0.15384615384615385,0.15384615384615385,0.38461538461538464,8.0,-0.38461538461538464,-0.46153846153846156,1.625,Neck,Other/Unknown,1,4.0,1.2307692307692308,4,0.0,1,1,0.42465770582106355,2,0,9.0,2013,0
Pablo Mantovani,0.5,6.0,0.0,0.3333333333333333,0.16666666666666666,4.0,2.0,1.1666666666666667,1.5,No specific target,No specific vulnerability,1,0.0,1.1666666666666667,3,0.0,0,0,-0.02920021284773601,0,0,3.0,2017,0
Pablo Popovitch,0.7307692307692307,26.0,0.11538461538461539,0.5769230769230769,0.038461538461538464,12.0,0.2692307692307692,-0.5769230769230769,2.1666666666666665,Neck,Other/Unknown,2,1.0,1.5384615384615385,4,0.15384615384615385,1,1,0.8466659459867893,2,0,19.0,2003,0
Paul Schreiner,0.5,4.0,0.0,0.5,0.0,2.0,1.25,-0.5,2.0,No specific target,Arm,1,1.0,1.5,3,0.0,0,0,0.30522141143453735,0,0,2.0,2022,0
Paulo Miyao,0.75,8.0,0.0,0.75,0.0,4.0,4.75,0.125,2.0,No specific target,No specific vulnerability,1,0.0,1.5,3,0.0,0,0,0.7351920712260316,0,0,6.0,2017,0
Rida Haisam,0.3333333333333333,3.0,0.3333333333333333,0.0,0.0,2.0,-0.6666666666666666,0.0,1.5,Arm,Other/Unknown,1,4.0,0.3333333333333333,1,0.3333333333333333,0,0,-0.36362183713000934,1,0,1.0,2022,0
