leftElbow,rightElbow,leftShould,rightShould,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,leftWrist,rightWrist,Xangle,time,nansec,diftime
117,101,73,72,51,16,7,7,23,25,20,92,5.041478237741272,1709574154.7073019,1709574154707301800,784548800
107,102,76,76,39,26,7,6,23,24,18,103,3.7729392415245178,1709574155.0643845,1709574155064384400,1141631400
113,104,78,73,26,26,14,10,20,24,20,111,2.669108331098122,1709574155.4194355,1709574155419435600,1496682600
97,102,72,64,30,26,12,11,22,25,20,104,2.0133442789119487,1709574155.7914426,1709574155791442700,1868689700
109,114,67,83,23,34,16,12,21,27,21,102,2.031532959832228,1709574156.0292487,1709574156029248700,2106495700
113,115,63,81,23,35,15,14,20,28,25,105,1.166473346939941,1709574156.2622457,1709574156262245700,2339492700
112,113,66,79,17,38,21,14,20,26,24,94,2.741419784792088,1709574156.46576,1709574156465760000,2543007000
95,117,62,69,16,24,22,14,18,26,22,92,2.8195557265470446,1709574156.6737232,1709574156673723200,2750970200
109,122,68,76,19,24,22,13,18,26,25,96,1.9755713305265947,1709574156.8472786,1709574156847278500,2924525500
113,119,68,80,20,26,20,8,18,24,23,84,1.9884440365462694,1709574157.0253098,1709574157025309800,3102556800
110,122,59,83,21,31,19,7,18,21,18,86,1.4387874231474884,1709574157.2088187,1709574157208818700,3286065700
105,125,78,76,24,32,17,7,18,20,26,80,1.6323311147953967,1709574157.400306,1709574157400306000,3477553000
106,126,76,76,22,31,17,8,19,20,28,78,1.6839613227717574,1709574157.6002796,1709574157600279500,3677526500
119,127,71,79,19,32,20,7,20,22,21,77,1.6922901959413539,1709574157.7750573,1709574157775057500,3852304500
108,124,75,72,20,28,19,7,18,23,26,74,1.5709932736318986,1709574157.9640625,1709574157964062500,4041309500
130,123,65,72,19,26,17,6,18,22,32,78,1.2647497064269007,1709574158.15107,1709574158151070300,4228317300
114,120,57,70,19,25,19,7,20,23,21,82,1.5743984369432733,1709574158.3405638,1709574158340563700,4417810700
107,120,57,71,19,25,19,6,20,22,41,90,1.5045838513116347,1709574158.5146058,1709574158514605700,4591852700
112,117,61,72,20,26,18,6,22,21,31,90,0.8760509601176498,1709574158.7081108,1709574158708110800,4785357800
111,112,58,68,23,25,14,6,22,21,32,85,0.43376544748096835,1709574158.894123,1709574158894123000,4971370000
106,104,60,60,22,20,14,8,22,19,45,76,0.3072393053119654,1709574159.083614,1709574159083614100,5160861100
106,104,57,59,27,21,12,8,23,20,40,80,0.8134984350739662,1709574159.283081,1709574159283080900,5360327900
103,103,59,61,28,21,11,8,22,21,27,88,1.4503654235755712,1709574159.491523,1709574159491523200,5568770200
99,109,60,66,29,17,11,8,22,25,28,102,1.823796451689195,1709574159.6680515,1709574159668051400,5745298400
101,109,68,71,28,16,12,9,22,26,23,103,2.1115122345987745,1709574159.864526,1709574159864526100,5941773100
98,113,70,78,28,19,15,10,20,25,17,104,1.816199046461308,1709574160.0703697,1709574160070369700,6147616700
100,109,71,81,24,23,14,13,25,25,14,105,2.3071803074591295,1709574160.2763295,1709574160276329600,6353576600
98,111,66,81,20,25,18,13,27,26,29,99,2.169830595302187,1709574160.487765,1709574160487764900,6565011900
